File_Path,Sample,Flowcell_ID,Platform,Read_Length,QV,Read_Numbers
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,18400,78,2
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,14700,86,6
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,12400,93,13
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,17800,67,1
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,13200,58,3
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,13100,74,5
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,19500,87,4
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,13900,60,1
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,15400,90,11
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,23400,79,1
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,13600,79,3
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,12700,80,1
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,14400,80,4
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,16600,87,7
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,12400,91,18
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,13300,72,4
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,12000,64,1
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,12200,91,16
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,12200,92,28
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,11500,90,6
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,14500,92,12
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,11100,92,15
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,13700,72,5
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,10700,61,1
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,13200,84,6
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,11700,65,3
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,19600,50,1
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,11600,68,2
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,13400,90,11
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,22300,60,1
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,15500,80,3
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,15200,90,10
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,20000,72,1
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,12700,88,5
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,15200,87,3
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,17400,87,4
testhifi.fq.gz,TILRUW,PAF987,PACBIO_SMRT,15500,78,4
