Haplotype,mean,median,min,max
haplotype1-0000001,64.45627482747057,64,0,676
haplotype1-0000002,61.505446108712306,62,2,496
haplotype1-0000003,60.029053490888806,60,2,316
haplotype1-0000004,66.8045976648403,60,2,3162
haplotype1-0000005,62.737259229347586,60,0,636
haplotype1-0000006,60.15581285538993,62,2,580
haplotype1-0000007,65.37636161205812,64,0,542
haplotype1-0000008,62.25913874084154,62,2,318
haplotype1-0000009,58.45153304205984,54,2,406
haplotype1-0000010,52.13732706779271,50,2,180
haplotype1-0000011,63.866442074792054,64,2,328
haplotype1-0000012,62.977690593886535,64,6,220
haplotype1-0000013,65.23977689292528,64,2,248
haplotype1-0000014,55.982488599348535,56,2,134
haplotype1-0000015,58.361912114685616,58,0,308
haplotype1-0000016,63.172875186259745,64,0,426
haplotype1-0000017,63.2522472689479,62,0,308
haplotype1-0000018,57.52568735297796,58,0,272
haplotype1-0000019,61.99259459028129,62,2,614
haplotype1-0000020,58.55055128842238,58,0,228
haplotype1-0000021,58.7288912301293,58,0,456
haplotype1-0000022,59.7998332232648,58,2,232
haplotype1-0000023,63.95361886795871,64,0,688
haplotype1-0000024,61.8960593423333,60,0,268
haplotype1-0000025,63.42836002333887,64,0,424
haplotype1-0000026,64.44296201879935,64,2,684
haplotype1-0000027,64.62394059932856,64,0,818
haplotype1-0000028,61.44998205246065,60,0,416
haplotype1-0000029,57.9101774766822,58,0,672
haplotype1-0000030,58.270065936214806,60,2,150
haplotype1-0000031,55.23200115836421,54,0,290
haplotype1-0000032,66.1815746151333,66,2,212
haplotype1-0000033,64.79244985206971,64,0,462
haplotype1-0000034,60.64391476912617,60,2,324
haplotype1-0000035,65.36471443684206,64,2,302
haplotype1-0000036,66.67198233975716,64,0,1256
haplotype1-0000037,62.380990853716014,62,0,282
haplotype1-0000038,30.53803360793235,28,0,138
haplotype1-0000039,60.114585722011206,60,2,242
haplotype1-0000040,59.38382670246346,60,4,232
haplotype1-0000041,54.14686728780706,54,0,188
haplotype1-0000042,63.78751974968726,64,2,200
haplotype1-0000043,55.12794878266973,56,2,182
haplotype1-0000044,57.61374180211674,56,2,220
haplotype1-0000045,55.66681114426256,56,4,224
haplotype1-0000046,64.69779654222197,64,0,938
haplotype1-0000047,61.311192495947985,60,2,374
haplotype1-0000048,59.76150932007436,60,2,212
haplotype1-0000049,65.06478666264526,62,2,374
haplotype1-0000050,56.00011300093719,54,2,174
haplotype1-0000051,60.01322323529412,60,0,264
haplotype1-0000052,51.17946190469124,50,0,262
haplotype1-0000053,32.467623466146655,32,0,264
haplotype1-0000054,65.71144899912602,66,0,356
haplotype1-0000055,54.16768612166128,54,0,182
haplotype1-0000056,71.96660574726711,62,0,290
haplotype1-0000057,60.13988500703084,60,2,156
haplotype1-0000058,58.133454468724295,58,0,232
haplotype1-0000059,59.615035766802066,60,2,164
haplotype1-0000060,61.21475104180862,60,0,854
haplotype1-0000061,59.73194579474171,58,2,288
haplotype1-0000062,60.95147584742975,60,0,384
haplotype1-0000063,58.698720974694,54,0,1920
haplotype1-0000064,64.04692930020039,64,2,264
haplotype1-0000065,61.7036091157762,62,8,194
haplotype1-0000066,58.53010003550981,58,4,188
haplotype1-0000067,56.18079541152361,54,0,144
haplotype1-0000068,42.45756175118383,36,2,174
haplotype1-0000069,64.4686408417225,64,0,540
haplotype1-0000070,68.13924189311203,58,2,564
haplotype1-0000071,58.79155348399165,60,2,122
haplotype1-0000072,64.9889403128285,64,0,588
haplotype1-0000073,63.07968258949331,64,0,376
haplotype1-0000074,61.71643387964511,62,2,484
haplotype1-0000075,65.38422840571334,64,0,422
haplotype1-0000076,63.393466074670606,64,0,362
haplotype1-0000077,59.16537220616987,58,0,254
haplotype1-0000078,21.89770771666552,24,2,34
haplotype1-0000079,76.02886548719691,70,0,136
haplotype1-0000080,126.87686910317109,84,2,428
haplotype1-0000081,101.18838112810384,106,0,204
haplotype1-0000082,65.26162778102727,68,2,90
haplotype1-0000083,56.199472420174025,56,2,194
haplotype1-0000084,56.97314134265964,62,0,90
haplotype1-0000085,42.237512105886154,44,4,60
haplotype1-0000086,5.460042906945562,6,0,10
haplotype1-0000087,316.3561782335524,98,2,3204
haplotype1-0000088,987.8072973563469,1108,2,1732
haplotype1-0000089,178.8245968362022,80,2,816
haplotype1-0000090,93.78311849904075,88,2,262
haplotype1-0000091,48.58700471832187,52,2,58
haplotype1-0000092,3.000246172025011,4,0,4
haplotype1-0000093,55.768932801886265,58,2,64
haplotype1-0000094,125.4932616891277,156,2,188
haplotype1-0000095,59.65059621988481,62,2,138
haplotype1-0000096,3.5833835039133053,4,0,4
haplotype1-0000097,11.231753925496156,12,2,16
haplotype1-0000098,61.21468180323575,58,2,184
haplotype1-0000099,25.237608919703927,28,0,40
haplotype1-0000100,7.476764199655766,8,2,16
haplotype1-0000101,65.42687338501293,82,0,116
haplotype1-0000102,39.7598955613577,50,2,52
haplotype1-0000103,9.256794083578367,12,0,14
haplotype1-0000104,52.5971790763328,52,6,126
haplotype1-0000105,66.76512475610292,62,2,608
haplotype1-0000106,1247.5301398434028,1286,0,2532
haplotype1-0000107,59.77542171537182,58,0,120
haplotype1-0000108,40.86755550156406,42,0,68
