Read_Length	Read_Numbers	Flowcell_ID	Platform
0	367	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
100	4566	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
200	43978	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
300	55287	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
400	65552	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
500	82242	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
600	101599	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
700	115512	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
800	122825	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
900	125046	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
1000	126174	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
1100	123779	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
1200	120313	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
1300	115950	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
1400	110649	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
1500	106453	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
1600	102054	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
1700	98653	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
1800	94359	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
1900	89969	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
2000	85873	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
2100	82248	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
2200	79076	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
2300	75655	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
2400	71792	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
2500	68490	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
2600	65481	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
2700	62203	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
2800	59507	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
2900	56644	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
3000	53970	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
3100	51623	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
3200	49166	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
3300	47458	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
3400	45348	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
3500	43252	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
3600	41496	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
3700	40490	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
3800	38975	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
3900	37231	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
4000	36231	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
4100	35103	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
4200	33866	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
4300	32959	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
4400	31900	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
4500	31032	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
4600	30428	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
4700	29479	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
4800	28691	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
4900	27707	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
5000	27369	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
5100	26832	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
5200	25521	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
5300	25174	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
5400	24723	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
5500	24453	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
5600	23632	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
5700	22777	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
5800	22483	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
5900	21905	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
6000	21474	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
6100	20928	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
6200	20375	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
6300	19730	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
6400	19179	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
6500	19180	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
6600	18518	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
6700	18373	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
6800	17815	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
6900	17380	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
7000	17260	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
7100	16796	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
7200	16501	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
7300	16359	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
7400	15888	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
7500	15658	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
7600	15546	PAF32809_PAF21165_PAF09309_PAF09661_PAF14969_PAF10280	ONT
