Read_Length	Read_Numbers	Flowcell_ID	Platform
0	7	TEMPHIFI	PacBio
200	1	TEMPHIFI	PacBio
300	1	TEMPHIFI	PacBio
400	2	TEMPHIFI	PacBio
500	1	TEMPHIFI	PacBio
600	4	TEMPHIFI	PacBio
700	6	TEMPHIFI	PacBio
800	4	TEMPHIFI	PacBio
900	11	TEMPHIFI	PacBio
1000	26	TEMPHIFI	PacBio
1100	30	TEMPHIFI	PacBio
1200	93	TEMPHIFI	PacBio
1300	166	TEMPHIFI	PacBio
1400	192	TEMPHIFI	PacBio
1500	178	TEMPHIFI	PacBio
1600	171	TEMPHIFI	PacBio
1700	169	TEMPHIFI	PacBio
1800	184	TEMPHIFI	PacBio
1900	173	TEMPHIFI	PacBio
2000	157	TEMPHIFI	PacBio
2100	171	TEMPHIFI	PacBio
2200	166	TEMPHIFI	PacBio
2300	172	TEMPHIFI	PacBio
2400	185	TEMPHIFI	PacBio
2500	164	TEMPHIFI	PacBio
2600	192	TEMPHIFI	PacBio
2700	182	TEMPHIFI	PacBio
2800	200	TEMPHIFI	PacBio
2900	202	TEMPHIFI	PacBio
3000	209	TEMPHIFI	PacBio
3100	207	TEMPHIFI	PacBio
3200	208	TEMPHIFI	PacBio
3300	225	TEMPHIFI	PacBio
3400	251	TEMPHIFI	PacBio
3500	219	TEMPHIFI	PacBio
3600	260	TEMPHIFI	PacBio
3700	250	TEMPHIFI	PacBio
3800	256	TEMPHIFI	PacBio
3900	243	TEMPHIFI	PacBio
4000	261	TEMPHIFI	PacBio
4100	241	TEMPHIFI	PacBio
4200	258	TEMPHIFI	PacBio
4300	267	TEMPHIFI	PacBio
4400	233	TEMPHIFI	PacBio
4500	289	TEMPHIFI	PacBio
4600	271	TEMPHIFI	PacBio
4700	239	TEMPHIFI	PacBio
4800	267	TEMPHIFI	PacBio
4900	249	TEMPHIFI	PacBio
5000	240	TEMPHIFI	PacBio
5100	273	TEMPHIFI	PacBio
5200	295	TEMPHIFI	PacBio
5300	308	TEMPHIFI	PacBio
5400	263	TEMPHIFI	PacBio
5500	301	TEMPHIFI	PacBio
5600	326	TEMPHIFI	PacBio
5700	315	TEMPHIFI	PacBio
5800	353	TEMPHIFI	PacBio
5900	371	TEMPHIFI	PacBio
6000	401	TEMPHIFI	PacBio
6100	421	TEMPHIFI	PacBio
6200	433	TEMPHIFI	PacBio
6300	489	TEMPHIFI	PacBio
6400	491	TEMPHIFI	PacBio
6500	509	TEMPHIFI	PacBio
6600	555	TEMPHIFI	PacBio
6700	594	TEMPHIFI	PacBio
6800	666	TEMPHIFI	PacBio
6900	664	TEMPHIFI	PacBio
7000	683	TEMPHIFI	PacBio
7100	733	TEMPHIFI	PacBio
7200	750	TEMPHIFI	PacBio
7300	832	TEMPHIFI	PacBio
7400	892	TEMPHIFI	PacBio
7500	824	TEMPHIFI	PacBio
7600	826	TEMPHIFI	PacBio
7700	879	TEMPHIFI	PacBio
7800	880	TEMPHIFI	PacBio
7900	930	TEMPHIFI	PacBio
8000	955	TEMPHIFI	PacBio
8100	1024	TEMPHIFI	PacBio
8200	1021	TEMPHIFI	PacBio
8300	1042	TEMPHIFI	PacBio
8400	1043	TEMPHIFI	PacBio
8500	1080	TEMPHIFI	PacBio
8600	1155	TEMPHIFI	PacBio
8700	1154	TEMPHIFI	PacBio
8800	1201	TEMPHIFI	PacBio
8900	1274	TEMPHIFI	PacBio
9000	1271	TEMPHIFI	PacBio
9100	1305	TEMPHIFI	PacBio
9200	1285	TEMPHIFI	PacBio
9300	1370	TEMPHIFI	PacBio
9400	1364	TEMPHIFI	PacBio
9500	1501	TEMPHIFI	PacBio
9600	1419	TEMPHIFI	PacBio
9700	1446	TEMPHIFI	PacBio
9800	1530	TEMPHIFI	PacBio
9900	1637	TEMPHIFI	PacBio
10000	1690	TEMPHIFI	PacBio
10100	1726	TEMPHIFI	PacBio
10200	1927	TEMPHIFI	PacBio
10300	1909	TEMPHIFI	PacBio
10400	2208	TEMPHIFI	PacBio
10500	2555	TEMPHIFI	PacBio
10600	3003	TEMPHIFI	PacBio
10700	3697	TEMPHIFI	PacBio
10800	4508	TEMPHIFI	PacBio
10900	5833	TEMPHIFI	PacBio
11000	7466	TEMPHIFI	PacBio
11100	9537	TEMPHIFI	PacBio
11200	11455	TEMPHIFI	PacBio
11300	14157	TEMPHIFI	PacBio
11400	17033	TEMPHIFI	PacBio
11500	20124	TEMPHIFI	PacBio
11600	23814	TEMPHIFI	PacBio
11700	27669	TEMPHIFI	PacBio
11800	31695	TEMPHIFI	PacBio
11900	36025	TEMPHIFI	PacBio
12000	41052	TEMPHIFI	PacBio
12100	45780	TEMPHIFI	PacBio
12200	51147	TEMPHIFI	PacBio
12300	55814	TEMPHIFI	PacBio
12400	61645	TEMPHIFI	PacBio
12500	66731	TEMPHIFI	PacBio
12600	70647	TEMPHIFI	PacBio
12700	75079	TEMPHIFI	PacBio
12800	79546	TEMPHIFI	PacBio
12900	82268	TEMPHIFI	PacBio
13000	85259	TEMPHIFI	PacBio
13100	87100	TEMPHIFI	PacBio
13200	88799	TEMPHIFI	PacBio
13300	91197	TEMPHIFI	PacBio
13400	91218	TEMPHIFI	PacBio
13500	91789	TEMPHIFI	PacBio
13600	91737	TEMPHIFI	PacBio
13700	91700	TEMPHIFI	PacBio
13800	90749	TEMPHIFI	PacBio
13900	90053	TEMPHIFI	PacBio
14000	89385	TEMPHIFI	PacBio
14100	88881	TEMPHIFI	PacBio
