Haplotype,mean,median,min,max,Length
haplotype1-0000001,64.45627483,64,0,676,71609123
haplotype1-0000002,61.50544611,62,2,496,2249066
haplotype1-0000003,60.02905349,60,2,316,4760736
haplotype1-0000004,66.80459766,60,2,3162,23187595
haplotype1-0000005,62.73725923,60,0,636,23077823
haplotype1-0000006,60.15581286,62,2,580,24342038
haplotype1-0000007,65.37636161,64,0,542,63168690
haplotype1-0000008,62.25913874,62,2,318,26168430
haplotype1-0000009,58.45153304,54,2,406,1296605
haplotype1-0000010,52.13732707,50,2,180,3103962
haplotype1-0000011,63.86644207,64,2,328,19594060
haplotype1-0000012,62.97769059,64,6,220,1302993
haplotype1-0000013,65.23977689,64,2,248,7340332
haplotype1-0000014,55.9824886,56,2,134,844250
haplotype1-0000015,58.36191211,58,0,308,23863987
haplotype1-0000016,63.17287519,64,0,426,52941599
haplotype1-0000017,63.25224727,62,0,308,20428574
haplotype1-0000018,57.52568735,58,0,272,6452689
haplotype1-0000019,61.99259459,62,2,614,21566200
haplotype1-0000020,58.55055129,58,0,228,7957113
haplotype1-0000021,58.72889123,58,0,456,20475376
haplotype1-0000022,59.79983322,58,2,232,12336253
haplotype1-0000023,63.95361887,64,0,688,64818718
haplotype1-0000024,61.89605934,60,0,268,15004196
haplotype1-0000025,63.42836002,64,0,424,37624072
haplotype1-0000026,64.44296202,64,2,684,38380040
haplotype1-0000027,64.6239406,64,0,818,54112789
haplotype1-0000028,61.44998205,60,0,416,4309783
haplotype1-0000029,57.91017748,58,0,672,18574911
haplotype1-0000030,58.27006594,60,2,150,818215
haplotype1-0000031,55.23200116,54,0,290,10096997
haplotype1-0000032,66.18157462,66,2,212,6773579
haplotype1-0000033,64.79244985,64,0,462,91130082
haplotype1-0000034,60.64391477,60,2,324,3729944
haplotype1-0000035,65.36471444,64,2,302,7316420
haplotype1-0000036,66.67198234,64,0,1256,67855994
haplotype1-0000037,62.38099085,62,0,282,1856601
haplotype1-0000038,30.53803361,28,0,138,749942
haplotype1-0000039,60.11458572,60,2,242,10138977
haplotype1-0000040,59.3838267,60,4,232,1661974
haplotype1-0000041,54.14686729,54,0,188,9139748
