Read_Length,QV,Read_Numbers
16900,79,1
10900,93,4
10300,73,1
13500,72,2
13300,89,2
16500,48,3
12300,90,7
13700,89,2
11900,73,1
14500,89,4
11600,61,1
13000,85,3
9400,65,1
19800,87,1
13800,92,4
15800,45,2
14400,73,1
14000,91,5
12500,85,4
12600,91,3
13400,90,3
13600,79,1
12900,64,2
11300,91,2
11300,92,5
21700,51,1
13500,73,2
12800,89,2
14100,53,2
16000,62,1
13700,66,1
13100,50,1
12800,72,1
13500,88,1
15400,88,3
12200,90,3
15600,92,4
13600,91,4
12300,91,7
13900,76,3
16600,62,1
19600,79,1
12600,93,2
12300,78,4
13300,47,1
14800,50,1
13300,68,1
17300,89,1
13500,55,2
14100,72,1
14200,88,3
12700,91,3
12600,82,3
17500,87,1
14100,84,2
11200,55,1
12000,54,1
10400,88,1
21200,88,1
14700,45,1
21900,84,1
14500,91,3
12600,45,1
15100,90,1
15200,72,1
13900,91,6
11700,64,1
17400,86,3
24500,72,1
10200,90,2
12500,49,1
14500,75,1
16200,76,1
27000,73,1
13100,82,1
13600,92,6
12200,83,2
19200,83,1
14800,77,1
11000,91,4
13000,59,1
12100,77,1
16500,90,2
14900,90,2
13100,91,3
13300,88,2
15200,68,1
11000,79,2
15500,68,3
19700,81,1
15300,91,3
14900,62,1
15400,89,3
11500,90,4
29600,48,1
11100,92,3
10000,81,1
12600,86,3
16300,84,1
10900,55,1
13300,86,1
15700,56,1
12100,92,6
11900,60,1
12000,90,2
13300,92,5
12400,64,1
11800,76,2
13200,91,5
11500,81,3
12600,88,2
16900,59,1
14600,91,3
10400,92,6
12200,91,2
13900,92,6
12600,49,1
15800,43,1
13200,92,4
21600,83,1
12700,71,1
13400,91,2
10500,51,1
16600,90,3
15000,54,1
16700,90,2
16000,84,3
13800,88,1
15200,86,2
11900,90,1
18200,91,2
15900,49,1
15600,91,3
17900,85,3
18300,80,1
13000,80,2
12400,73,2
12400,86,2
14300,87,4
14900,56,1
17900,53,1
13400,55,2
12200,85,5
14900,45,1
12700,92,6
13300,81,2
16400,91,2
21900,69,1
15700,88,1
19000,75,1
17400,56,1
12200,76,1
17400,88,1
17400,81,2
12100,68,1
11200,74,1
11400,93,2
17100,50,1
12000,88,1
13100,70,1
13800,91,1
15200,55,1
14000,92,5
16000,77,2
25200,74,1
12500,54,1
14200,87,3
18700,89,1
18800,87,2
12800,93,4
13100,60,2
19000,68,1
11000,93,2
12100,81,1
16300,56,1
12800,80,1
11900,64,1
17500,65,1
12800,92,5
16300,74,1
17300,87,1
13900,90,5
14000,87,2
12500,89,4
14500,87,3
13900,78,2
12000,76,2
17800,85,1
12200,57,2
17800,87,1
15100,83,1
13700,91,6
20100,51,1
14100,92,3
14100,91,2
11600,91,3
12200,92,3
19700,89,1
12900,91,6
11400,92,9
15300,63,1
11500,59,1
11700,91,4
17000,85,2
14100,90,3
11700,92,5
10100,92,2
14700,83,1
15400,76,1
13100,56,1
15800,91,2
12500,43,1
18300,87,1
13800,89,3
10800,89,2
15800,67,1
12400,70,1
12100,88,1
14800,63,1
14900,87,2
13400,86,2
14700,82,1
14500,88,3
10900,72,1
11000,92,9
15500,91,1
12400,59,1
15200,79,1
15800,82,1
17900,83,1
11900,92,6
12200,43,1
12100,91,4
16400,74,1
16000,88,3
11800,79,2
21700,71,1
13500,76,1
11900,87,2
12500,84,3
12100,76,1
16800,87,1
12500,47,1
14100,88,4
27800,81,1
14300,85,2
13500,93,1
11000,89,1
11700,93,2
10900,66,1
15400,90,4
17100,91,2
16400,67,1
11500,92,4
16500,64,1
13300,91,4
13100,90,3
13600,80,1
16500,85,2
15700,77,2
13700,90,2
13500,70,1
14200,85,1
15800,72,1
14700,64,1
11900,91,3
25200,71,1
13200,83,2
11800,82,1
11900,44,1
14600,92,1
14200,91,3
12300,75,1
14800,83,2
16600,87,1
14500,90,2
12300,82,2
18400,75,1
16500,80,1
13600,58,2
13900,75,2
12100,89,2
11900,69,1
13400,67,1
18500,83,1
15700,85,2
13900,70,2
11400,51,1
15200,92,3
15000,89,3
15700,82,1
15000,45,2
15900,59,1
17900,75,1
16000,90,2
14600,90,5
12200,74,2
13800,79,1
14900,70,2
13800,81,1
12800,88,1
11500,56,1
15600,88,2
12100,90,1
14600,80,2
11100,88,1
14200,64,1
12900,93,1
13200,79,1
11600,70,2
14800,76,2
12500,42,1
12800,85,2
16500,78,1
12900,73,1
13900,87,4
11800,92,2
14900,78,2
19400,63,1
21000,81,1
13400,70,1
12300,47,1
13500,92,6
11700,89,1
15800,89,1
16800,74,1
15000,74,2
17000,57,1
14000,86,1
16200,63,2
17300,90,2
14500,86,1
17300,91,2
11400,88,3
12100,50,1
17200,89,2
12100,49,1
10800,91,2
16200,90,2
20000,89,1
11700,85,1
14500,84,1
14700,80,4
27500,84,1
19700,74,2
11200,79,1
13300,80,2
15100,88,4
11800,64,1
23100,77,1
11600,71,1
19200,59,1
13400,92,3
14600,78,1
12300,57,1
14600,88,1
13700,81,1
12700,78,1
12700,89,2
12300,89,5
13900,86,3
14700,92,2
17600,43,1
16300,83,2
17400,87,2
14000,88,2
17500,83,1
11600,56,1
11200,78,1
9100,92,1
15100,61,1
14700,81,3
14800,71,1
14400,77,2
12800,50,3
12400,81,2
11300,51,1
12000,93,2
13500,56,1
10700,91,5
13500,91,4
12100,83,1
10900,90,2
17300,92,2
15800,90,2
11600,93,2
11300,79,1
16400,52,1
14900,92,2
13800,75,2
11500,93,5
19700,88,1
15300,64,3
14600,52,1
17500,90,2
12800,84,1
11800,93,1
12600,87,1
14900,82,1
14600,61,1
15700,89,2
16200,56,1
17200,90,2
14900,83,1
2700,93,1
12000,81,1
12300,93,2
13100,48,1
14300,81,1
14800,87,2
13100,85,1
16200,88,3
19200,86,1
16400,87,2
11800,91,4
14200,50,1
12900,92,2
17400,80,1
14200,80,1
16000,63,1
16700,89,2
