Read_Length,QV,Read_Numbers
0,42,1
0,47,2
0,49,1
0,50,1
0,53,1
0,54,1
0,55,1
0,56,1
0,57,4
0,58,1
0,59,2
0,60,5
0,61,10
0,62,6
0,63,5
0,64,3
0,65,7
0,66,4
0,67,8
0,68,5
0,69,7
0,70,9
0,71,11
0,72,15
0,73,12
0,74,12
0,75,7
0,76,17
0,77,17
0,78,20
0,79,14
0,80,7
0,81,14
0,82,17
0,83,16
0,84,25
0,85,11
0,86,21
0,87,27
0,88,35
0,89,42
0,90,53
0,91,80
0,92,246
0,93,1943
100,75,1
100,83,1
100,91,2
100,93,4
200,69,1
200,81,1
200,92,1
200,93,3
400,91,1
500,76,1
500,90,1
500,92,2
500,93,10
600,75,1
600,83,1
600,88,1
600,92,3
600,93,5
700,79,1
700,86,2
700,87,1
700,89,1
700,90,1
700,91,1
700,92,3
700,93,1
800,89,1
800,91,2
800,93,5
900,69,1
900,81,1
900,82,1
900,86,1
900,88,1
900,90,1
900,91,1
900,92,1
900,93,5
1000,67,1
1000,74,1
1000,79,1
1000,87,1
1000,89,1
1000,92,3
1000,93,1
1100,66,1
1100,82,1
1100,88,2
1100,90,1
1100,91,2
1100,93,3
1200,72,1
1200,74,1
1200,77,1
1200,82,1
1200,85,1
1200,86,1
1200,91,1
1200,93,6
1300,61,1
1300,63,2
1300,77,1
1300,83,1
1300,89,2
1300,90,1
1300,92,1
1300,93,13
1400,75,1
1400,76,1
1400,78,1
1400,82,1
1400,84,1
1400,88,1
1400,89,1
1400,92,1
1400,93,14
1500,71,1
1500,72,1
1500,80,1
1500,84,1
1500,88,1
1500,89,1
1500,92,2
1500,93,11
1600,53,1
1600,55,1
1600,57,1
1600,64,1
1600,71,1
1600,75,1
1600,83,1
1600,86,1
1600,89,3
1600,92,2
1600,93,18
1700,55,1
1700,57,1
1700,59,1
1700,79,1
1700,86,1
1700,88,2
1700,89,1
1700,91,2
1700,92,2
1700,93,14
1800,62,1
1800,65,1
1800,85,1
1800,87,2
1800,88,1
1800,89,1
1800,90,1
1800,91,2
1800,92,1
1800,93,8
1900,65,1
1900,68,1
1900,74,1
1900,75,1
1900,81,1
1900,83,1
1900,84,1
1900,85,1
1900,93,17
2000,50,1
2000,58,1
2000,60,1
2000,69,1
2000,71,1
2000,77,1
2000,81,1
2000,84,1
2000,92,3
2000,93,14
2100,48,1
2100,66,1
2100,71,1
2100,77,1
2100,80,1
2100,81,1
2100,87,1
2100,88,1
2100,91,1
2100,92,1
2100,93,7
2200,73,1
2200,78,1
2200,79,1
2200,85,1
2200,87,1
2200,88,1
2200,89,1
2200,90,1
2200,92,2
2200,93,8
2300,64,1
2300,73,1
2300,76,1
2300,77,1
2300,78,2
2300,83,1
2300,85,1
2300,88,1
2300,92,3
2300,93,13
2400,45,1
2400,64,1
2400,65,1
2400,74,1
2400,76,1
2400,79,1
2400,84,1
2400,87,1
2400,88,1
2400,90,1
2400,91,2
2400,92,3
2400,93,11
2500,43,1
2500,68,2
2500,89,1
2500,93,5
2600,54,1
2600,59,1
2600,65,1
2600,73,1
2600,77,1
2600,80,1
2600,81,1
2600,87,1
2600,89,1
2600,90,2
2600,92,1
2600,93,10
2700,43,1
2700,47,1
2700,48,1
2700,49,1
2700,62,1
2700,73,1
2700,79,1
2700,82,1
2700,86,1
2700,89,1
2700,91,2
2700,92,1
2700,93,7
2800,42,1
2800,69,1
2800,90,1
2800,91,1
2800,92,2
2800,93,15
2900,49,1
2900,58,1
2900,66,1
2900,72,1
2900,85,1
2900,89,1
2900,93,11
3000,47,1
3000,63,1
3000,74,1
3000,85,1
3000,88,2
3000,92,2
3000,93,8
3100,52,1
3100,60,1
3100,79,1
3100,85,1
3100,91,1
3100,93,4
3200,70,1
3200,77,1
3200,79,1
3200,88,1
3200,90,3
3200,91,1
3200,92,1
3200,93,6
3300,56,1
3300,62,1
3300,75,1
3300,84,1
3300,88,1
3300,92,3
3300,93,8
3400,55,1
3400,73,2
3400,82,1
3400,84,1
3400,88,1
3400,93,10
3500,59,1
3500,70,1
3500,78,1
3500,84,1
3500,88,1
3500,92,1
3500,93,8
3600,73,1
3600,82,1
3600,84,1
3600,91,1
3600,92,3
3600,93,1
3700,55,1
3700,70,1
3700,77,1
3700,92,1
3700,93,4
3800,43,1
3800,58,1
3800,63,1
3800,86,2
3800,88,1
3800,90,2
3800,91,1
3800,92,2
3800,93,8
3900,42,1
3900,55,1
3900,88,1
3900,92,2
3900,93,1
4000,65,1
4000,70,2
4000,87,1
4000,88,1
4000,90,1
4000,91,1
4000,92,3
4000,93,2
4100,42,2
4100,58,1
4100,61,1
4100,65,1
4100,76,1
4100,78,1
4100,87,1
4100,89,1
4100,93,7
4200,68,1
4200,75,1
4200,90,1
4200,92,2
4200,93,9
4300,48,1
4300,60,1
4300,61,2
4300,62,1
4300,69,1
4300,71,1
4300,77,1
4300,86,1
4300,89,1
4300,92,1
4300,93,3
4400,50,1
4400,63,1
4400,67,1
4400,78,1
4400,81,2
4400,89,1
4400,91,2
4400,93,8
4500,64,1
4500,76,1
4500,77,1
4500,89,1
4500,93,8
4600,58,1
4600,73,1
4600,91,1
4600,92,2
4600,93,6
4700,75,1
4700,80,1
4700,85,2
4700,90,2
4700,91,1
4700,92,1
4800,66,1
4800,78,1
4800,88,1
4800,91,1
4800,92,1
4800,93,8
4900,44,1
4900,47,1
4900,53,2
4900,55,1
4900,66,1
4900,73,1
4900,84,1
4900,88,1
4900,91,1
4900,92,1
4900,93,8
5000,78,1
5000,91,2
5000,93,6
5100,43,1
5100,56,1
5100,89,1
5100,91,1
5100,92,3
5100,93,8
5200,55,1
5200,71,1
5200,79,1
5200,81,1
5200,92,2
5200,93,3
5300,53,1
5300,89,1
5300,90,2
5300,91,1
5300,93,6
5400,48,1
5400,51,1
5400,67,1
5400,80,1
5400,85,1
5400,86,2
5400,89,1
5400,90,2
5400,92,1
5400,93,2
5500,65,1
5500,70,1
5500,86,1
5500,87,1
5500,92,2
5500,93,3
5600,43,1
5600,77,1
5600,81,1
5600,90,1
5600,91,2
5600,92,1
5600,93,5
5700,44,1
5700,49,1
5700,59,1
5700,82,1
5700,87,1
5700,88,1
5700,89,1
5700,90,1
5700,91,3
5700,92,2
5700,93,8
5800,53,1
5800,59,1
5800,67,1
5800,70,1
5800,75,1
5800,76,1
5800,81,1
5800,91,1
5800,93,3
5900,51,1
5900,52,1
5900,65,1
5900,77,1
5900,85,1
5900,92,3
5900,93,4
6000,47,1
6000,50,1
6000,67,1
6000,68,1
6000,74,2
6000,77,1
6000,82,1
6000,85,1
6000,88,1
6000,89,1
6000,91,1
6000,92,1
6000,93,5
6100,57,1
6100,58,2
6100,62,1
6100,66,1
6100,83,1
6100,86,1
6100,88,1
6100,90,1
6100,91,3
6100,92,1
6100,93,3
6200,78,1
6200,85,1
6200,86,1
6200,90,1
6200,91,1
6200,92,2
6200,93,6
6300,45,1
6300,51,1
6300,52,1
6300,67,1
6300,69,1
6300,71,1
6300,77,1
6300,84,1
6300,85,1
6300,86,1
6300,87,1
6300,92,1
6300,93,3
6400,54,1
6400,55,1
6400,60,1
6400,63,1
6400,68,2
6400,70,1
6400,84,1
6400,85,1
6400,87,1
6400,91,2
6400,92,4
6400,93,6
6500,46,1
6500,48,1
6500,51,1
6500,58,1
6500,61,1
6500,67,1
6500,83,1
6500,84,1
6500,90,2
6500,91,1
6500,92,6
6500,93,7
6600,52,1
6600,57,1
6600,63,1
6600,67,1
6600,83,1
6600,90,2
6600,91,1
6600,92,3
6600,93,2
6700,55,1
6700,61,1
6700,75,1
6700,84,1
6700,86,1
6700,88,1
6700,91,1
6700,92,3
6700,93,11
6800,47,1
6800,49,1
6800,51,1
6800,54,1
6800,57,1
6800,64,1
6800,70,1
6800,73,1
6800,74,1
6800,78,1
6800,85,1
6800,87,1
6800,88,2
6800,90,1
6800,92,1
6800,93,3
6900,45,1
6900,46,1
6900,48,1
6900,52,1
6900,57,1
6900,69,1
6900,74,1
6900,78,1
6900,79,2
6900,82,1
6900,83,2
6900,85,1
6900,91,2
6900,93,6
7000,44,1
7000,65,1
7000,66,1
7000,79,1
7000,80,1
7000,86,2
7000,89,1
7000,91,1
7000,92,1
7000,93,6
7100,49,1
7100,52,1
7100,57,1
7100,60,1
7100,72,1
7100,75,1
7100,76,2
7100,77,1
7100,79,2
7100,88,2
7100,90,1
7100,91,5
7100,92,5
7100,93,6
7200,45,1
7200,46,1
7200,50,1
7200,51,1
7200,52,1
7200,61,1
7200,66,1
7200,67,1
7200,68,1
7200,69,1
7200,73,1
7200,75,1
7200,89,2
7200,90,1
7200,91,4
7200,92,4
7200,93,12
7300,47,1
7300,49,1
7300,54,1
7300,57,1
7300,58,1
7300,60,1
7300,77,2
7300,78,1
7300,82,1
7300,87,1
7300,88,1
7300,90,3
7300,92,3
7300,93,8
7400,45,1
7400,48,1
7400,50,1
7400,55,1
7400,57,1
7400,59,1
7400,63,1
7400,66,1
7400,76,1
7400,77,1
7400,84,1
7400,88,1
7400,90,1
7400,91,3
7400,92,5
7400,93,5
7500,51,2
7500,54,1
7500,55,1
7500,56,1
7500,58,1
7500,59,1
7500,65,1
7500,66,1
7500,68,1
7500,70,1
7500,74,1
7500,77,1
7500,82,1
7500,83,1
7500,89,1
7500,90,4
7500,91,1
7500,92,3
7500,93,7
7600,45,1
7600,46,1
7600,47,1
7600,48,1
7600,50,1
7600,51,1
7600,53,1
7600,55,1
7600,56,1
7600,57,2
7600,59,1
7600,70,1
7600,71,1
7600,73,1
7600,74,1
7600,75,1
7600,78,1
7600,83,1
7600,84,2
7600,89,1
7600,90,1
7600,91,2
7600,92,4
7600,93,11
7700,44,1
7700,47,3
7700,48,1
7700,49,1
7700,52,1
7700,53,1
7700,56,1
7700,57,1
7700,62,1
7700,63,1
7700,66,1
7700,80,1
7700,83,2
7700,84,1
7700,85,1
7700,86,1
7700,87,3
7700,88,1
7700,89,1
7700,91,2
7700,92,4
7700,93,13
7800,45,1
7800,49,1
7800,51,1
7800,52,1
7800,53,1
7800,54,1
7800,55,1
7800,59,3
7800,60,1
7800,63,1
7800,64,3
7800,65,2
7800,66,1
7800,67,1
7800,71,1
7800,76,1
7800,77,1
7800,79,1
7800,83,1
7800,84,1
7800,85,1
7800,86,1
7800,87,2
7800,89,5
7800,90,1
7800,91,7
7800,92,2
7800,93,18
7900,47,2
7900,48,1
7900,50,2
7900,51,1
7900,52,2
7900,53,1
7900,56,4
7900,59,1
7900,61,2
7900,65,2
7900,70,1
7900,74,1
7900,76,1
7900,79,1
7900,80,2
7900,81,1
7900,84,2
7900,85,1
7900,89,3
7900,90,4
7900,91,5
7900,92,8
7900,93,19
8000,44,1
8000,45,2
8000,46,2
8000,47,2
8000,49,1
8000,50,1
8000,51,1
8000,52,1
8000,53,3
8000,54,2
8000,55,2
8000,56,2
8000,57,1
8000,59,2
8000,61,1
8000,62,1
8000,66,1
8000,71,1
8000,72,1
8000,76,1
8000,77,1
8000,79,2
8000,80,1
8000,82,2
8000,83,1
8000,85,2
8000,86,1
8000,87,1
8000,88,2
8000,89,3
8000,90,3
8000,91,13
8000,92,13
8000,93,24
8100,43,1
8100,46,1
8100,47,3
8100,48,1
8100,49,2
8100,50,2
8100,51,1
8100,53,4
8100,54,1
8100,55,6
8100,56,1
8100,57,1
8100,58,1
8100,62,1
8100,65,1
8100,66,2
8100,67,2
8100,68,1
8100,69,1
8100,72,1
8100,75,2
8100,76,2
8100,77,1
8100,79,2
8100,81,1
8100,84,1
8100,85,2
8100,86,2
8100,87,3
8100,88,2
8100,89,2
8100,90,2
8100,91,7
8100,92,20
8100,93,18
8200,42,1
8200,44,1
8200,45,2
8200,48,4
8200,49,1
8200,50,3
8200,51,2
8200,52,2
8200,53,1
8200,54,1
8200,55,1
8200,56,3
8200,59,1
8200,60,2
8200,61,3
8200,62,1
8200,63,2
8200,64,1
8200,65,2
8200,67,1
8200,68,1
8200,69,2
8200,73,1
8200,74,2
8200,76,1
8200,77,2
8200,79,2
8200,80,1
8200,81,2
8200,82,1
8200,83,3
8200,84,3
8200,85,1
8200,86,2
8200,87,2
8200,88,4
8200,89,6
8200,90,4
8200,91,8
8200,92,21
8200,93,44
8300,45,2
8300,46,2
8300,47,2
8300,48,2
8300,49,1
8300,50,2
8300,51,5
8300,52,2
8300,53,2
8300,54,3
8300,55,1
8300,56,1
8300,57,2
8300,58,5
8300,59,3
8300,60,4
8300,63,1
8300,64,1
8300,65,1
8300,66,1
8300,67,1
8300,70,1
8300,71,1
8300,74,2
8300,75,1
8300,76,2
8300,77,1
8300,78,2
8300,79,2
8300,80,2
8300,81,2
8300,82,3
8300,83,2
8300,85,2
8300,86,7
8300,87,8
8300,88,5
8300,89,9
8300,90,8
8300,91,11
8300,92,31
8300,93,30
8400,43,1
8400,44,1
8400,45,2
8400,46,2
8400,47,4
8400,48,2
8400,49,1
8400,50,2
8400,51,3
8400,52,1
8400,53,3
8400,54,4
8400,55,3
8400,56,5
8400,57,5
8400,58,2
8400,61,3
8400,62,1
8400,63,1
8400,64,1
8400,65,1
8400,66,2
8400,67,1
8400,68,1
8400,69,2
8400,70,2
8400,71,2
8400,72,1
8400,73,2
8400,74,2
8400,75,1
8400,76,1
8400,77,2
8400,78,3
8400,79,4
8400,80,4
8400,81,4
8400,82,4
8400,83,2
8400,84,1
8400,85,4
8400,86,3
8400,87,6
8400,88,11
8400,89,5
8400,90,5
8400,91,17
8400,92,28
8400,93,50
8500,44,3
8500,45,3
8500,46,2
8500,47,5
8500,48,1
8500,49,1
8500,51,5
8500,52,4
8500,53,3
8500,54,8
8500,55,5
8500,56,5
8500,57,4
8500,59,1
8500,60,2
8500,62,2
8500,64,3
8500,65,2
8500,66,3
8500,67,1
8500,68,1
8500,69,6
8500,70,2
8500,71,2
8500,73,2
8500,74,2
8500,75,4
8500,76,3
8500,78,4
8500,79,2
8500,80,3
8500,81,5
8500,82,4
8500,83,4
8500,84,3
8500,85,2
8500,86,7
8500,87,4
8500,88,10
8500,89,11
8500,90,15
8500,91,23
8500,92,46
8500,93,70
8600,43,2
8600,44,2
8600,45,6
8600,46,1
8600,47,1
8600,48,5
8600,49,3
8600,50,3
8600,51,6
8600,52,9
8600,53,5
8600,54,6
8600,55,4
8600,56,4
8600,57,4
8600,58,5
8600,59,5
8600,60,6
8600,61,4
8600,62,1
8600,63,1
8600,64,2
8600,65,2
8600,66,6
8600,67,4
8600,68,2
8600,69,2
8600,70,1
8600,71,2
8600,72,3
8600,73,2
8600,74,4
8600,75,4
8600,76,2
8600,77,2
8600,78,3
8600,79,2
8600,81,1
8600,82,3
8600,83,6
8600,84,4
8600,85,4
8600,86,9
8600,87,5
8600,88,15
8600,89,14
8600,90,16
8600,91,22
8600,92,62
8600,93,86
8700,41,1
8700,42,2
8700,43,1
8700,44,4
8700,45,3
8700,46,2
8700,47,2
8700,48,4
8700,49,9
8700,50,5
8700,51,7
8700,52,6
8700,53,4
8700,54,7
8700,55,5
8700,56,4
8700,57,2
8700,58,5
8700,59,9
8700,60,6
8700,61,2
8700,62,5
8700,63,3
8700,64,8
8700,65,4
8700,66,3
8700,67,3
8700,68,5
8700,69,3
8700,70,1
8700,71,5
8700,72,5
8700,73,4
8700,74,5
8700,75,4
8700,76,6
8700,77,4
8700,78,2
8700,79,8
8700,80,7
8700,81,8
8700,82,6
8700,83,7
8700,84,10
8700,85,8
8700,86,10
8700,87,7
8700,88,13
8700,89,15
8700,90,24
8700,91,26
8700,92,60
8700,93,119
8800,42,1
8800,43,2
8800,44,4
8800,45,4
8800,46,5
8800,47,7
8800,48,4
8800,49,8
8800,50,6
8800,51,7
8800,52,9
8800,53,10
8800,54,4
8800,55,11
8800,56,7
8800,57,6
8800,58,3
8800,59,7
8800,60,6
8800,61,11
8800,62,2
8800,63,3
8800,64,5
8800,65,6
8800,66,1
8800,67,4
8800,68,6
8800,69,2
8800,71,7
8800,72,2
8800,73,4
8800,74,7
8800,75,8
8800,76,3
8800,77,3
8800,78,5
8800,79,5
8800,80,4
8800,81,10
8800,82,6
8800,83,6
8800,84,6
8800,85,12
8800,86,12
8800,87,19
8800,88,22
8800,89,16
8800,90,22
8800,91,44
8800,92,93
8800,93,124
8900,40,1
8900,42,2
8900,43,2
8900,44,4
8900,45,3
8900,46,5
8900,47,7
8900,48,15
8900,49,7
8900,50,10
8900,51,3
8900,52,9
8900,53,7
8900,54,16
8900,55,8
8900,56,10
8900,57,12
8900,58,13
8900,59,11
8900,60,8
8900,61,4
8900,62,8
8900,63,3
8900,64,3
8900,65,6
8900,67,5
8900,68,8
8900,69,6
8900,70,9
8900,71,3
8900,72,7
8900,73,4
8900,74,4
8900,75,7
8900,76,3
8900,77,5
8900,78,17
8900,79,8
8900,80,8
8900,81,5
8900,82,8
8900,83,11
8900,84,12
8900,85,12
8900,86,12
8900,87,23
8900,88,18
8900,89,19
8900,90,26
8900,91,42
8900,92,118
8900,93,150
9000,42,2
9000,44,5
9000,45,5
9000,46,3
9000,47,5
9000,48,13
9000,49,15
9000,50,17
9000,51,10
9000,52,9
9000,53,14
9000,54,9
9000,55,17
9000,56,10
9000,57,9
9000,58,6
9000,59,10
9000,60,8
9000,61,7
9000,62,6
9000,63,8
9000,64,8
9000,65,7
9000,66,6
9000,67,5
9000,68,8
9000,69,11
9000,70,5
9000,71,6
9000,72,4
9000,73,2
9000,74,10
9000,75,8
9000,76,3
9000,77,9
9000,78,9
9000,79,11
9000,80,9
9000,81,4
9000,82,8
9000,83,6
9000,84,11
9000,85,17
9000,86,22
9000,87,16
9000,88,20
9000,89,40
9000,90,43
9000,91,56
9000,92,112
9000,93,147
9100,41,1
9100,43,2
9100,44,7
9100,45,5
9100,46,5
