Read_Length,QV,Read_Numbers
0,93,1
100,83,1
100,93,3
200,41,1
200,93,2
300,57,1
300,93,4
400,90,1
400,91,1
400,93,1
500,85,1
600,92,1
600,93,3
700,76,1
700,90,1
700,93,4
800,91,1
800,93,9
900,89,1
900,92,1
1000,90,1
1100,59,1
1100,64,1
1100,88,1
1100,89,1
1100,91,2
1100,92,1
1100,93,10
1200,57,1
1200,93,11
1300,39,1
1300,59,1
1300,87,1
1300,91,1
1300,92,1
1300,93,7
1400,41,1
1400,88,1
1400,89,1
1400,90,2
1400,91,1
1400,92,5
1400,93,10
1500,89,1
1500,93,13
1600,43,1
1600,58,1
1600,79,1
1600,82,1
1600,91,1
1600,92,1
1600,93,10
1700,73,1
1700,74,1
1700,87,1
1700,89,2
1700,90,2
1700,91,2
1700,92,1
1700,93,4
1800,46,1
1800,85,1
1800,92,1
1800,93,6
1900,53,1
1900,69,1
1900,82,1
1900,91,1
1900,92,3
1900,93,10
2000,89,1
2000,90,1
2000,91,2
2000,93,6
2100,49,1
2100,58,1
2100,76,1
2100,89,3
2100,92,1
2100,93,8
2200,61,1
2200,64,1
2200,70,1
2200,92,1
2200,93,5
2300,51,1
2300,85,1
2300,91,1
2300,92,2
2300,93,11
2400,59,1
2400,85,2
2400,87,1
2400,88,1
2400,91,2
2400,92,1
2400,93,7
2500,90,1
2500,92,3
2500,93,9
2600,62,1
2600,76,1
2600,87,1
2600,89,1
2600,92,1
2600,93,8
2700,86,1
2700,90,1
2700,92,1
2700,93,7
2800,53,1
2800,82,1
2800,83,1
2800,88,2
2800,90,1
2800,91,1
2800,92,2
2800,93,6
2900,85,1
2900,90,1
2900,92,1
2900,93,4
3000,70,1
3000,84,1
3000,92,1
3000,93,8
3100,63,1
3100,92,1
3100,93,9
3200,82,1
3200,85,1
3200,91,1
3200,93,2
3300,54,1
3300,91,2
3300,93,4
3400,84,1
3400,92,1
3400,93,5
3500,53,1
3500,77,1
3500,85,1
3500,92,2
3500,93,11
3600,86,1
3600,88,1
3600,92,2
3600,93,4
3700,72,1
3700,79,1
3700,92,1
3700,93,4
3800,68,1
3800,72,1
3800,88,1
3800,92,1
3800,93,7
3900,89,1
3900,92,2
3900,93,7
4000,57,1
4000,58,1
4000,69,1
4000,78,1
4000,82,1
4000,91,3
4000,92,1
4000,93,6
4100,53,1
4100,83,2
4100,84,1
4100,91,2
4100,92,1
4100,93,4
4200,83,1
4200,86,1
4200,92,1
4200,93,7
4300,46,1
4300,90,1
4300,92,2
4300,93,9
4400,61,1
4400,71,1
4400,74,1
4400,79,1
4400,85,1
4400,87,1
4400,91,1
4400,93,2
4600,75,1
4600,85,1
4600,86,1
4600,90,1
4600,92,2
4600,93,2
4700,60,1
4700,69,1
4700,73,1
4700,89,1
4700,91,1
4700,92,1
4700,93,2
4800,61,1
4800,83,1
4800,93,5
4900,46,1
4900,52,1
4900,66,1
4900,85,1
4900,89,2
4900,92,1
4900,93,7
5000,73,1
5000,88,1
5000,91,1
5000,93,6
5100,55,1
5100,72,1
5100,80,1
5100,89,1
5100,93,5
5200,44,1
5200,65,1
5200,83,1
5200,89,1
5200,90,2
5200,91,1
5200,92,2
5200,93,6
5300,90,1
5300,93,2
5400,56,1
5400,57,1
5400,92,1
5400,93,4
5500,60,1
5500,83,1
5500,92,3
5500,93,3
5600,67,1
5600,88,1
5600,90,1
5600,92,4
5600,93,5
5700,51,1
5700,68,1
5700,73,1
5700,84,1
5700,92,3
5700,93,7
5800,78,1
5800,82,1
5800,90,1
5800,92,1
5800,93,5
5900,57,1
5900,81,1
5900,82,1
5900,90,1
5900,92,1
5900,93,9
6000,59,1
6000,73,1
6000,86,1
6000,87,1
6000,93,6
6100,61,1
6100,82,1
6100,87,1
6100,91,2
6100,92,3
6100,93,6
6200,56,1
6200,81,1
6200,91,2
6200,92,2
6200,93,3
6300,83,1
6300,89,1
6300,92,1
6300,93,4
6400,63,1
6400,82,2
6400,93,2
6500,45,1
6500,56,1
6500,69,1
6500,71,1
6500,78,1
6500,86,1
6500,87,1
6500,90,1
6500,92,1
6500,93,3
6600,64,1
6600,73,1
6600,74,1
6600,76,1
6600,82,1
6600,84,1
