Read_Length,QV,Read_Numbers
0,7,38
0,8,66
0,9,52
0,10,50
0,11,46
0,12,35
0,13,19
0,14,10
0,15,7
0,16,11
0,17,7
0,18,9
0,19,3
0,20,2
0,21,2
0,22,1
0,23,1
0,24,1
0,25,1
0,26,3
100,9,20
100,10,65
100,11,205
100,12,347
100,13,463
100,14,543
100,15,680
100,16,790
100,17,982
100,18,1125
100,19,1358
100,20,1438
100,21,1453
100,22,1382
100,23,1099
100,24,826
100,25,578
100,26,340
100,27,175
100,28,81
100,29,38
100,30,14
100,31,4
100,32,1
200,9,17
200,10,509
200,11,3148
200,12,6408
200,13,8502
200,14,10686
200,15,13380
200,16,16234
200,17,19716
200,18,23318
200,19,25542
200,20,26379
200,21,24633
200,22,20469
200,23,15282
200,24,10104
200,25,5751
200,26,3042
200,27,1390
200,28,570
200,29,201
200,30,63
200,31,19
200,32,3
300,9,19
300,10,452
300,11,3347
300,12,6774
300,13,9156
300,14,11196
300,15,13607
300,16,17042
300,17,20372
300,18,24306
300,19,27568
300,20,29179
300,21,28246
300,22,24244
300,23,18446
300,24,12235
300,25,6770
300,26,3357
300,27,1368
300,28,533
300,29,199
300,30,52
300,31,18
300,32,6
300,33,2
300,34,1
400,9,16
400,10,352
400,11,3002
400,12,6053
400,13,7882
400,14,9496
400,15,11619
400,16,14403
400,17,17409
400,18,21210
400,19,24504
400,20,27221
400,21,26822
400,22,24127
400,23,18799
400,24,12243
400,25,6743
400,26,3195
400,27,1267
400,28,416
400,29,135
400,30,34
400,31,11
400,32,7
400,33,2
400,34,2
500,9,26
500,10,310
500,11,2695
500,12,5369
500,13,6913
500,14,8497
500,15,10252
500,16,12505
500,17,15022
500,18,18340
500,19,21439
500,20,24098
500,21,25062
500,22,22457
500,23,17507
500,24,11407
500,25,6291
500,26,2799
500,27,1098
500,28,403
500,29,106
500,30,30
500,31,8
500,32,3
500,33,1
600,9,16
600,10,240
600,11,2262
600,12,4544
600,13,5957
600,14,7164
600,15,9023
600,16,10862
600,17,13095
600,18,16031
600,19,18993
600,20,21482
600,21,22430
600,22,20651
600,23,16382
600,24,11010
600,25,5941
600,26,2714
600,27,976
600,28,328
600,29,87
600,30,20
600,31,6
600,32,2
600,34,1
700,8,1
700,9,23
700,10,209
700,11,2028
700,12,3992
700,13,5230
700,14,6532
700,15,7811
700,16,9411
700,17,11553
700,18,13760
700,19,16338
700,20,18775
700,21,19951
700,22,19184
700,23,15336
700,24,10208
700,25,5536
700,26,2487
700,27,820
700,28,275
700,29,74
700,30,24
700,31,8
700,32,1
800,9,15
800,10,155
800,11,1743
800,12,3553
800,13,4572
800,14,5764
800,15,6880
800,16,8598
800,17,10191
800,18,12497
800,19,14604
800,20,17292
800,21,18379
800,22,17461
800,23,14113
800,24,9495
800,25,5064
800,26,2084
800,27,737
800,28,225
800,29,61
800,30,17
800,31,3
800,32,1
800,33,2
800,34,1
900,9,10
900,10,116
900,11,1525
900,12,3253
900,13,4222
900,14,5257
900,15,6309
900,16,7866
900,17,9467
900,18,11236
900,19,13534
900,20,15663
900,21,16956
900,22,16120
900,23,12879
900,24,8538
900,25,4498
900,26,1928
900,27,660
900,28,205
900,29,47
900,30,18
900,31,1
1000,9,5
1000,10,96
1000,11,1421
1000,12,2957
1000,13,3816
1000,14,4876
