File	Checksum
Compressed	fe3a116dec301452d8c937fca5b34139
Uncompressed	fe3a116dec301452d8c937fca5b34139

ID	Length	Checksum
haplotype1-0000001	71609123	22f7885f5660a1367a8128140b613493
haplotype1-0000002	2249066	68df1ff67168a49b90dfd24321360f0b
haplotype1-0000003	4760736	a7a5fb37d009f24b70ae5426be571a56
haplotype1-0000004	23187595	786774975aa120c65efd817c20749ee0
haplotype1-0000005	23077823	4d099008eaaa961d64489b78d954215a
haplotype1-0000006	24342038	c6feaccf6e7b264a35000d3c46c80f1c
haplotype1-0000007	63168690	9fcc790cb7d05f6a9f8a8163fdb4b973
haplotype1-0000008	26168430	6570fe66157b5d23ff1ec29ed9470230
haplotype1-0000009	1296605	bfec261f53b2e79e86e18cf6be437f49
haplotype1-0000010	3103962	b52a2ab87530a60cb49543225c2bca10
haplotype1-0000011	19594060	b1aece469b21de97bd5ec9f8d9e493ab
haplotype1-0000012	1302993	17d4535f71fde58f58d319352bc9ef1f
haplotype1-0000013	7340332	742af8833f65b899731d2ad1d9a8f1c8
haplotype1-0000014	844250	078957153d02362ca99605376cc92f5c
haplotype1-0000015	23863987	3bae5a74cb2867cb10359c05373ae8c3
haplotype1-0000016	52941599	69e6a7bc815517bb2e358fd618f64bfb
haplotype1-0000017	20428574	b26cb0d4b524eba19feccf2d43fe031b
haplotype1-0000018	6452689	8ce6fd920dabb3ccbcdfc9e7c91a32cb
haplotype1-0000019	21566200	e94a2be75375926624350e0e3b79f77b
haplotype1-0000020	7957113	21a6b66675f2df914aa65176334ded10
haplotype1-0000021	20475376	2490fe26eb3fa631a922e9d93ac7bb2f
haplotype1-0000022	12336253	2f2ba78cb1de25407b464c52f9b9781e
haplotype1-0000023	64818718	ad7fba4dc96e8e94791ac986ad1cb307
haplotype1-0000024	15004196	0ed469c0d2b689904dc065526b1e5ade
haplotype1-0000025	37624072	21be01871dd085880101eff16abd2f41
haplotype1-0000026	38380040	e11e4584e141f04d1d87e81df5ce2345
haplotype1-0000027	54112789	2ce5d27e493f03d40f53db07d720aa08
haplotype1-0000028	4309783	2af669833af2e7a962b6b2fd3c28ca1d
haplotype1-0000029	18574911	2dcfec5713740a3a650569074e871197
haplotype1-0000030	818215	25f9e74e0b24b77a7289b68a0dd9e4dd
haplotype1-0000031	10096997	8a978693483f9e3c102dd049fd401178
haplotype1-0000032	6773579	ec9a6c622e248b8c71bf7eef81c4c2ce
haplotype1-0000033	91130082	d2d7a69fcca72503318f562d95a99a99
haplotype1-0000034	3729944	607cb9d3c5553148f15ff7c9569d8d85
haplotype1-0000035	7316420	eb376a79ead69e11115e8ddb470bd3ee
haplotype1-0000036	67855994	6c4fd751bd2cf5b8f2d9aad55c0447f0
haplotype1-0000037	1856601	109444a54557629dc6b692ed92e7f4a4
haplotype1-0000038	749942	1fec3cfc5b394ebc367f3860aec0fb11
haplotype1-0000039	10138977	b8110b4eff41ae2a33604120a92f8184
haplotype1-0000040	1661974	e0f0e017640744846f8d1aae5088334a
haplotype1-0000041	9139748	05b7a57807e72015b3c8f25c462e1f3e
haplotype1-0000042	5798826	b71ee7568e8ba45c282a79fc487d8bcd
haplotype1-0000043	2242366	13eb110b77faa360ce3bde2ad2b686ae
haplotype1-0000044	2881689	e8a639e5db38df03549ca9d5dfa012fd
haplotype1-0000045	1785744	c26bba1fd952022e10618a9429179566
haplotype1-0000046	88387642	8507a49bb41b2bd181e2b51f9b655a75
haplotype1-0000047	8190988	6f81d17cd9e62a41d5467eae656ae184
haplotype1-0000048	10218588	32639d3b6ea15250fd85f551f4b3e085
haplotype1-0000049	15583300	96c0962b75fc3b81cd7598e352832865
haplotype1-0000050	1115035	e4b9193563457d8084a301906cb82cf6
haplotype1-0000051	6813528	9a7be5be3926e73555b47f3319773a92
haplotype1-0000052	7346385	4ab2d1f25ee63c3864260b970d90c93a
haplotype1-0000053	3080969	7f3601a362fbed5eb49f1df5ba536091
haplotype1-0000054	49771122	d4acb59ee0f88f710c2a6ce5acf0a499
haplotype1-0000055	845431	5d141d3be2a35118a02b242560140d81
haplotype1-0000056	2916969	c8a13719f54d795656cda1cb339dcbea
haplotype1-0000057	3880759	5c43337a2a7c5d4ed99c7cc2dcf89b56
haplotype1-0000058	6947598	b9a01c56ed1081422ea5edfefc2742de
haplotype1-0000059	2231958	18b487aad3ca531fb8ff6652eb5883cb
haplotype1-0000060	51346194	dfa60d0881cddc1ff7b6a4dcb7845b08
haplotype1-0000061	5663362	a4e3ccde89ab94e230b2b05e04ab545b
haplotype1-0000062	6702827	417d46e2840278303e5c73fd966b162b
haplotype1-0000063	3483440	26175a11e44f4a16052fffde3e0b03a0
haplotype1-0000064	10985802	89e7061958e82e3175b38192ce8aea82
haplotype1-0000065	1724439	9167adb245c5afa214d349aabf2f9dc0
haplotype1-0000066	3289232	13438d301a90e051b71405f3b7996622
haplotype1-0000067	1957251	bfb1202dc6de5be89d0a83f04bf6714b
haplotype1-0000068	812616	121f01b94869fa17cab41a63b91db8e5
haplotype1-0000069	122871988	22abf4407a5fa281c85e3d592305b0d8
haplotype1-0000070	15307261	5624ae3dc929b145fdb51bb97bec71d5
haplotype1-0000071	917396	4f8f06e820203132f033ca5f5114b5d0
haplotype1-0000072	144753204	e151267db336fa80d77d4fcd5ecec77d
haplotype1-0000073	75766112	01c77dfca4d6b6a448fe294bc311c9a6
haplotype1-0000074	4754489	68bb34a119d9daf08a04ce466953cb8a
haplotype1-0000075	38012753	9db6f0b9c902631f553fa0b690cc0a1e
haplotype1-0000076	40651428	e78135801d7ca877e704556c33826fe8
haplotype1-0000077	5484167	0034f4d7bff52ca0293fde577890c2a5
haplotype1-0000078	14618	bb6cb8ae53626ec76182f5733b5ed78b
haplotype1-0000079	108919	15ee57a995e2d7bde344f855d8b18b98
haplotype1-0000080	176154	59b9f6231f8171251af96cd851056eb9
haplotype1-0000081	153922	dd89a63af35de61d16e92dfe48a91b34
haplotype1-0000082	46161	924285be4ea376edb411c75649f23a1e
haplotype1-0000083	126995	285d47b534f24ffa0d80db2335c1caa3
haplotype1-0000084	36599	12b3ff5a3551f62a989eab7f7ea15e78
haplotype1-0000085	46465	66edd0adfda4eb2df54fae085dbbc9b8
haplotype1-0000086	16793	b06bb30f75d1624a6b72a882c4c7f0f8
haplotype1-0000087	13847	2240da2ed33c795b04a74d4387918651
haplotype1-0000088	42679	16348ab7de229cc085c5408499dee524
haplotype1-0000089	97541	6930e8fe06caddf412232062397a5113
haplotype1-0000090	163149	ca322c8d827416f6785a99fcb7b1825b
haplotype1-0000091	17623	e70e1c7dc7e553e6f0d24a7e3ebf2627
haplotype1-0000092	20311	e96c6ae4a45a05f6964d6bd2e7139336
haplotype1-0000093	17815	e620cd31f4bd451b40fd915d18e96a1c
haplotype1-0000094	23161	2f762e178f02e2563e70e8ecb0455dbd
haplotype1-0000095	406813	6c676d89c515aedef4dc4ca4778d9c30
haplotype1-0000096	15184	30018ac662e34e869f2192e55b2f299c
haplotype1-0000097	21826	5240a465f0daf8fb453cdd7b2cf3ea9d
